Y;X1;X2;X3
191748;38;87;58
38880;90;12;36
308016;93;69;48
117180;93;90;14
204240;60;92;37
6643;1;91;73
6656;4;32;52
130200;100;42;31
38760;19;68;30
40248;78;6;86
4752;2;72;33
123384;97;24;53
113850;50;33;69
47348;14;89;38
157300;52;55;55
466200;84;74;75
29488;4;76;97
47740;35;22;62
96280;83;20;58
133163;37;61;59
31464;76;18;23
34602;79;6;73
326192;76;74;58
1632;2;12;68
34884;54;19;34
94848;57;32;52
61596;12;87;59
176490;53;74;45
293301;71;51;81
14400;25;24;24
3168;4;72;11
410780;92;95;47
94860;36;85;31
308179;83;79;47
21402;82;3;87
20160;4;56;90
48384;21;36;64
66378;46;39;37
7752;3;38;68
82880;74;28;40
217360;88;26;95
367048;44;97;86
31860;59;30;18
183680;82;32;70
6336;24;4;66
36480;6;80;76
376200;99;40;95
73164;67;39;28
77220;20;39;99
22649;71;11;29
136710;35;42;93
1134;54;1;21
125856;69;48;38
199752;82;84;29
47520;30;44;36
44640;16;45;62
100800;32;50;63
115920;63;23;80
903264;96;97;97
3840;15;32;8
368368;88;46;91
187920;72;45;58
18900;5;84;45
450240;80;84;67
4500;5;50;18
34944;84;8;52
281160;90;44;71
11328;32;59;6
629280;92;95;72
13608;18;54;14
226380;70;77;42
31892;67;17;28
81270;35;54;43
261360;99;55;48
135135;65;63;33
1020;10;51;2
172125;85;27;75
40480;92;8;55
1320;6;11;20
241900;50;59;82
197472;44;88;51
1032;86;12;1
9180;51;30;6
37240;20;49;38
223080;65;52;66
97020;55;42;42
260544;69;59;64
35280;15;49;48
419520;80;57;92
45590;5;94;97
1540;70;22;1
10290;21;10;49
18768;69;68;4
81675;55;55;27
152000;100;95;16
100674;47;51;42
189051;87;41;53
111012;87;44;29
264880;77;86;40
